MainBusiness,SafeValue,ShineValue,ShapeValue,TPFlag,ZTPrice,DTPrice,HqDate,fHSL,fLianB,Wtb,Zsz,Ltsz,vzangsu,Fzhsl,FzAmo,VOpenZAF,ZAF,ZAFYesterday,ZAFPre2D,ZAFPre5,ZAFPre10,ZAFPre20,ZAFPre30,ZAFPre60,ZAFYear,ZAFPreMyMonth,ZAFPreOneYear,Zjl,Zjl_HB,TotalBVol,TotalSVol,BCancel,SCancel,L2TicNum,L2OrderNum,FCAmo,FCb,OpenZAF,OpenAmo,OpenZTBuy,OpenAmoPre1,OpenVolPre1,CJJEPre1,CJJEPre3,FDEPre1,FDEPre2,ZTGPNum,LastStartZT,LastZTHzNum,EverZTCount,ConZAFDateNum,YearZTDay,MA5Value,HisHigh,HisLow,IPO_Price,More_YJL,BetaValue,DynaPE,MorePE,StaticPE_TTM,DYRatio,PB_MRQ,IsT0Fund,IsZCZGP,IsKzz,Kzz_HSCode,QHMainYYMM,FreeLtgb,Yield,KfEarnMoney,RDInputFee,CashZJ,PreReceiveZJ,OtherQYJzc,StaffNum,RecentGGJYDate,RecentHGDate,RecentIncentDate,NoticeDate_Recent,RecentReleaseDate,RecentDZDate,ReportDate,ZTDate_Recent,DTDate_Recent,TopDate_Recent,StopJYDate_Recent,code,stock_type,fetch_time
零售金融业务,95,10,11413,0,11.57,9.47,20260622,0.65,0.92,-0.86,2066.73,2066.70,0.71,0.02,570.73,0.00,1.24,-2.41,-1.46,-5.25,0.28,3.20,-2.65,5.55,-3.62,0.76,-4.66,6329.47,-4994.70,113074.00,142389.00,713349.00,655871.00,94678,164874,0.00,0.00,0.00,7430300.50,0.00,602.05,5605.00,151100.95,389234.23,0.00,0.00,0,1,0,0,1,0,10.79,12.73,10.07,40.00,0.00,0.03,3.56,4.79,4.74,5.67,0.45,0,0,0,0,0,816048.13,743.03,1448800.05,0.00,38799599.21,0.00,8000000.00,41698,0,0,0,0,20180521,20150521,20260425,20240221,20150119,20240221,0,000001.SZ,stock,2026-06-22 22:02:03
开发经营业务,64,4,90909,0,3.37,2.75,20260622,1.71,1.17,-45.59,302.42,302.20,1.88,0.10,750.47,-0.32,1.63,-0.97,0.65,-1.58,-4.31,-10.11,-22.25,-22.64,-33.11,-12.39,-51.70,4816.07,-1273.18,170706.00,239282.00,1155196.00,889896.00,48697,115959,0.00,0.00,-1.31,4989600.00,0.00,1088.29,34881.00,50069.35,151563.17,0.00,0.00,0,1,0,0,1,1,3.09,7.22,2.98,1.00,0.00,0.57,-1.56,-0.41,-0.41,0.00,0.34,0,0,0,0,0,647412.48,498.96,-533417.37,6626.26,6049262.39,8991604.74,0.00,131429,0,0,0,0,20091229,20061227,20260430,20251210,20241009,20251210,0,000002.SZ,stock,2026-06-22 22:02:03
移动应用安全业务,1,0,130913,1,2.90,2.62,20260622,0.00,0.00,0.00,3.65,3.49,0.00,0.00,0.00,0.00,0.00,-5.15,-4.90,0.00,0.00,0.00,0.00,-47.53,-75.09,0.00,-70.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,0.00,143.58,5202.00,693.92,1083.05,-1848.48,-2230.72,0,0,0,0,-6,29,2.94,13.98,2.76,1.00,0.00,0.11,-14.30,-2.78,-2.98,0.00,4.21,0,0,0,0,0,9339.49,0.00,-793.63,1009.47,9703.75,1539.70,0.00,320,0,0,0,0,20230815,20200120,20260428,20260416,20260427,20260427,20260428,000004.SZ,stock,2026-06-22 22:02:03
房产销售,72,3,10710,0,9.03,7.39,20260622,3.18,1.33,12.56,105.16,105.16,0.68,0.07,217.34,0.50,-5.12,6.07,-2.40,-0.76,-8.47,-28.40,-17.56,-4.06,-21.71,-14.40,16.44,-11187.58,-461.05,20805.00,37893.00,132693.00,157956.00,25480,45453,0.00,0.00,-1.34,3695200.00,0.00,68.90,889.00,50701.37,101031.79,0.00,0.00,0,1,0,0,-1,8,7.91,15.50,6.09,10.00,0.00,0.94,349.28,-262.28,-1260.34,0.00,1.96,0,0,0,0,0,85059.67,369.52,693.12,0.00,261455.31,233816.09,0.00,417,0,0,0,0,20130517,0,20260430,20260518,20251015,20251021,0,000006.SZ,stock,2026-06-22 22:02:03
"物业租赁及其他服务,汽车销售及相关服务",60,1,51010,0,15.05,12.31,20260622,3.09,1.12,8.88,45.70,45.70,0.58,0.06,32.98,0.15,-3.58,0.29,-4.88,-6.32,7.15,5.86,-23.36,-0.07,15.30,16.42,67.82,-771.44,-1840.87,3201.00,8388.00,67101.00,63445.00,10542,24168,0.00,0.00,-1.17,263600.00,0.00,18.36,135.00,10514.93,42199.18,0.00,0.00,0,1,0,0,-1,3,13.79,17.79,6.75,1.00,0.00,0.71,-526.31,2459.19,-2351.09,0.00,25.51,0,0,0,0,0,23007.47,26.36,-232.87,0.00,8955.33,248.94,0.00,172,0,0,0,0,20241121,20110520,20260429,20260430,20260512,20260513,0,000007.SZ,stock,2026-06-22 22:02:03
轨道交通运营检修装备,80,1,90904,0,2.70,2.21,20260622,1.00,0.99,15.05,66.82,66.82,1.89,0.06,109.37,0.00,0.41,-2.00,-1.57,0.41,-5.02,-6.11,-12.45,-4.28,-13.69,-4.28,-11.19,-595.31,13.24,62392.00,75297.00,152739.00,167777.00,6820,15213,0.00,0.00,0.00,211200.02,0.00,6.90,276.00,5231.36,17993.37,0.00,0.00,0,1,0,0,1,4,2.50,3.60,2.39,10.00,0.00,0.60,-54.95,-7.97,-8.09,0.00,3.10,0,0,0,0,0,165387.84,21.12,-3574.30,3539.96,54938.29,96542.97,0.00,1750,0,0,0,0,20190321,20160321,20260430,20260331,20260403,20260403,0,000008.SZ,stock,2026-06-22 22:02:03
高新技术产业分部,62,3,91304,0,7.52,6.16,20260622,1.06,0.88,-23.56,177.45,177.23,1.51,0.05,201.86,0.00,0.58,-2.15,-1.27,-2.55,-4.31,-11.34,-20.19,-19.72,-30.15,-7.03,-13.79,1906.67,-952.96,20262.00,36044.00,165021.00,125318.00,22135,45395,0.00,0.00,-0.15,774500.00,0.00,16.03,230.00,17242.18,48452.78,0.00,0.00,0,1,0,0,1,1,6.95,12.79,6.62,3.00,0.00,0.59,254.04,86.89,339.75,0.44,1.77,0,0,0,0,0,159620.56,77.45,2013.72,21766.10,521267.66,43741.05,0.00,15986,0,0,0,0,20250709,20150304,20260430,20250924,20250407,20221014,0,000009.SZ,stock,2026-06-22 22:02:03
工程项目,5,0,130101,0,2.00,1.81,20260622,3.76,1.18,-38.67,22.30,16.94,0.80,0.07,58.59,2.17,2.11,-5.00,-4.76,-12.22,-14.16,-13.01,-21.78,-54.99,-45.05,-7.62,-36.39,365.03,-215.89,18297.00,27345.00,121419.00,157485.00,6243,10532,0.00,0.00,-1.05,459800.00,0.00,61.64,3113.00,5305.84,17315.89,0.00,0.00,0,1,0,0,1,18,2.01,5.25,1.81,1.00,0.00,0.44,20.60,-63.20,-1286.49,0.00,7.58,0,0,0,0,0,73225.49,45.98,2693.17,0.00,2066.53,9835.41,0.00,121,0,0,20230909,0,20260612,20220628,20260429,20260609,20260611,20260617,0,000010.SZ,stock,2026-06-22 22:02:03
物业管理,86,2,90901,0,8.06,6.60,20260622,1.51,1.16,-68.00,42.97,37.96,0.73,0.07,46.14,0.00,-1.64,-1.48,-0.13,-3.74,-4.63,-4.38,-10.21,-10.99,-19.79,-1.64,-13.34,-230.88,-621.93,3855.00,12309.00,58051.00,43116.00,7467,15381,0.00,0.00,0.27,736500.00,0.00,44.47,601.00,7052.68,16185.20,0.00,0.00,0,1,0,0,-4,4,7.41,11.62,6.98,3.60,0.00,0.47,-39.44,128.92,2657.01,0.27,1.28,0,0,0,0,0,18702.63,73.65,-2815.71,103.89,152602.69,78244.22,0.00,8769,0,0,0,0,20200430,0,20260429,20251028,20250407,20251024,0,000011.SZ,stock,2026-06-22 22:02:03
玻璃产品,75,0,20113,0,4.73,3.87,20260622,4.67,1.06,0.00,143.91,92.68,0.18,0.03,99.61,0.69,10.00,-7.13,2.43,18.25,7.99,7.50,17.37,7.99,6.78,16.79,5.12,-3544.44,14511.10,157805.00,0.00,1396334.00,175492.00,31278,54577,5621.37,0.13,1.86,4313400.00,0.00,1255.89,28159.00,46063.58,167552.84,0.00,0.00,0,4,2,1,1,4,4.46,5.27,3.62,3.38,0.00,0.63,-36.47,104.10,1172.77,0.46,1.10,0,0,0,0,0,130973.96,431.34,-12094.35,11407.57,318254.75,32736.81,0.00,14054,0,20250214,0,0,20190925,20071015,20260428,20260616,20210727,20260522,0,000012.SZ,stock,2026-06-22 22:02:03
